name, surface, status, finger, part, usability, memorability, preference
lyq, vertical, fist, thumb, fingerpulp, 3.0, 4.0, 3.0
lyq, vertical, fist, index, fingerpulp, 7.0, 4.0, 7.0
lyq, vertical, fist, middle, fingerpulp, 6.0, 4.0, 5.0
lyq, vertical, fist, ring, fingerpulp, 4.0, 4.0, 2.0
lyq, vertical, fist, pinkie, fingerpulp, 7.0, 4.0, 6.0
lyq, vertical, fist, two, fingerpulp, 6.0, 4.0, 6.0
lyq, vertical, fist, three, fingerpulp, 5.0, 4.0, 5.0
lyq, vertical, fist, thumb, fingertip, 3.0, 2.0, 2.0
lyq, vertical, fist, index, fingertip, 6.0, 3.0, 5.0
lyq, vertical, fist, middle, fingertip, 6.0, 3.0, 5.0
lyq, vertical, fist, ring, fingertip, 4.0, 3.0, 2.0
lyq, vertical, fist, pinkie, fingertip, 6.0, 3.0, 5.0
lyq, vertical, fist, two, fingertip, 6.0, 3.0, 5.0
lyq, vertical, fist, three, fingertip, 5.0, 3.0, 4.0
lyq, vertical, fist, thumb, fingerside, 4.0, 3.0, 5.0
lyq, vertical, fist, index, fingerside, 3.0, 2.0, 2.0
lyq, vertical, fist, middle, fingerside, 3.0, 2.0, 2.0
lyq, vertical, fist, ring, fingerside, 2.0, 2.0, 1.0
lyq, vertical, fist, pinkie, fingerside, 3.0, 2.0, 2.0
lyq, vertical, fist, two, fingerside, 1.0, 2.0, 1.0
lyq, vertical, fist, three, fingerside, 1.0, 2.0, 1.0
lyq, vertical, fist, thumb, knuckle, 2.0, 2.0, 2.0
lyq, vertical, fist, index, knuckle, 6.0, 4.0, 6.0
lyq, vertical, fist, middle, knuckle, 6.0, 4.0, 5.0
lyq, vertical, fist, ring, knuckle, 4.0, 4.0, 3.0
lyq, vertical, fist, pinkie, knuckle, 4.0, 4.0, 3.0
lyq, vertical, fist, two, knuckle, 6.0, 4.0, 6.0
lyq, vertical, fist, three, knuckle, 3.0, 4.0, 2.0
lyq, vertical, fist, thumb, fingernail, 2.0, 2.0, 2.0
lyq, vertical, fist, index, fingernail, 5.0, 3.0, 4.0
lyq, vertical, fist, middle, fingernail, 4.0, 3.0, 3.0
lyq, vertical, fist, ring, fingernail, 2.0, 3.0, 2.0
lyq, vertical, fist, pinkie, fingernail, 4.0, 3.0, 3.0
lyq, vertical, fist, two, fingernail, 5.0, 3.0, 4.0
lyq, vertical, fist, three, fingernail, 3.0, 3.0, 2.0
lyq, vertical, relax, thumb, fingerpulp, 3.0, 4.0, 3.0
lyq, vertical, relax, index, fingerpulp, 7.0, 4.0, 7.0
lyq, vertical, relax, middle, fingerpulp, 7.0, 4.0, 6.0
lyq, vertical, relax, ring, fingerpulp, 6.0, 4.0, 6.0
lyq, vertical, relax, pinkie, fingerpulp, 7.0, 4.0, 6.0
lyq, vertical, relax, two, fingerpulp, 6.0, 4.0, 7.0
lyq, vertical, relax, three, fingerpulp, 5.0, 4.0, 5.0
lyq, vertical, relax, thumb, fingertip, 2.0, 2.0, 1.0
lyq, vertical, relax, index, fingertip, 6.0, 3.0, 5.0
lyq, vertical, relax, middle, fingertip, 6.0, 3.0, 5.0
lyq, vertical, relax, ring, fingertip, 6.0, 3.0, 5.0
lyq, vertical, relax, pinkie, fingertip, 6.0, 3.0, 5.0
lyq, vertical, relax, two, fingertip, 6.0, 3.0, 5.0
lyq, vertical, relax, three, fingertip, 5.0, 3.0, 4.0
lyq, vertical, relax, thumb, fingerside, 4.0, 3.0, 5.0
lyq, vertical, relax, index, fingerside, 3.0, 2.0, 2.0
lyq, vertical, relax, middle, fingerside, 3.0, 2.0, 2.0
lyq, vertical, relax, ring, fingerside, 3.0, 2.0, 2.0
lyq, vertical, relax, pinkie, fingerside, 3.0, 2.0, 2.0
lyq, vertical, relax, two, fingerside, 1.0, 2.0, 1.0
lyq, vertical, relax, three, fingerside, 1.0, 2.0, 1.0
lyq, vertical, relax, thumb, knuckle, 2.0, 2.0, 2.0
lyq, vertical, relax, index, knuckle, 6.0, 4.0, 6.0
lyq, vertical, relax, middle, knuckle, 6.0, 4.0, 5.0
lyq, vertical, relax, ring, knuckle, 3.0, 4.0, 2.0
lyq, vertical, relax, pinkie, knuckle, 4.0, 4.0, 3.0
lyq, vertical, relax, two, knuckle, 6.0, 4.0, 6.0
lyq, vertical, relax, three, knuckle, 3.0, 4.0, 2.0
lyq, vertical, relax, thumb, fingernail, 2.0, 2.0, 2.0
